,name,longitude,latitude
145,Painiitty,24.831397,60.235089
146,Ruomelantie,24.729314,60.174524
147,Länsituuli,24.802049,60.175358
148,Tuulimäki,24.806051,60.174144
149,Itäportti,24.738122,60.174914
150,Tapionaukio,24.805825,60.176168
151,Mäkkylän asema,24.83939,60.220467
152,Komeetankatu,24.735969,60.167216
153,Kulttuuriaukio,24.803942,60.177588
154,Kalkkipellonmäki,24.833536,60.220551
155,Auringonkatu,24.731472,60.171548
156,Ahertajantie,24.797984,60.17875
157,Piispankallio,24.743532,60.168441
158,Mäntyviita,24.810974,60.178702
159,Ruutikatu,24.820635,60.223377
160,Lystimäki,24.745666,60.172814
161,Otsolahti,24.817423,60.178655
162,Lumivaarantie,24.814268,60.204669
163,Lystimäensilta,24.752442,60.17471
164,Keilaniemi (M),24.82895,60.175233
165,Suurpellonaukio,24.744131,60.184596
166,Keilaranta,24.835132,60.178762
167,Betonimies,24.831804,60.180027
168,Lukutori,24.742936,60.187086
169,Tekniikantie,24.824747,60.180806
170,Innopoli,24.81422,60.185096
171,Hagalundinpuisto,24.817403,60.18363
172,"Aalto-yliopisto (M), Tietotie",24.820099,60.184987
173,"Aalto-yliopisto (M), Korkeakouluaukio",24.826671,60.184312
174,Otaranta,24.837133,60.18483
175,Sähkömies,24.829985,60.188499
176,Jämeräntaival,24.835033,60.188118
177,Maarinranta,24.81075284439144,60.18734696398579
178,Tietäjä,24.807083,60.189143
179,Metsänneidonpolku,24.806152,60.186731
180,Kalevalantie,24.804022,60.184765
181,Louhentori,24.796959,60.18715
182,Pohjankulma,24.794014,60.18288
183,Koivu-Mankkaa,24.78576,60.182976
184,Länsiterminaali,24.915862667368163,60.150395628620245
185,Mankkaanlaaksontie,24.780478,60.188706
186,Länsisatamankuja,24.912200440174857,60.15693191359567
187,Merihaka,24.958452215046275,60.17806592826971
188,Mankkaanaukio,24.769021,60.194599
189,Opastinsilta,24.937826370875783,60.199235425819
190,A.I. Virtasen aukio,24.962152,60.205577
